"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2003","841507","482313,00","2115834467,00","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2003","538782","299798,00","1283789863,00","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2003","20","17,00","51223,00","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2003","3763630","2511084,00","15958471953,00","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2003","2483053","1653096,00","9529346736,00","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2003","560","396,00","2184830,00","20 a 24 anos","Quantidade de Contribuintes","Ignorado"
"2003","3986190","2853055,00","25078542259,00","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2003","2640561","1888714,00","14468866974,00","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2003","3363","2485,00","17504630,00","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2003","3492006","2573590,00","28080966487,00","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2003","2300418","1695948,00","14618764774,00","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2003","3547","2664,00","19825959,00","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2003","3156631","2367392,00","30377861128,00","35 a 39 anos","Quantidade de Contribuintes","Masculino"
"2003","2117382","1595870,00","14295956260,00","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2003","2766","2157,00","14067266,00","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2003","2661428","2011494,00","29392248828,00","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2003","1802918","1379545,00","12898207962,00","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2003","2343","1842,00","11144854,00","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2003","2101181","1592389,00","25372569378,00","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2003","1404299","1083141,00","10337896552,00","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2003","2147","1734,00","11225607,00","45 a 49 anos","Quantidade de Contribuintes","Ignorado"
"2003","1471366","1103780,00","17542114040,00","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2003","951650","732311,00","6145989913,00","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2003","1621","1301,00","7903852,00","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2003","866915","632534,00","8742893144,00","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2003","619955","480784,00","3470642333,00","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2003","1211","978,00","5701768,00","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2003","486856","350530,00","3961605687,00","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2003","298201","205770,00","1379778747,00","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2003","642","470,00","2791166,00","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
